LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2373,2373,0,0.3897440731525421,1808.7697320534037,743.4954530124958,0.0,36.0,36,8.0,1,,5.493212669683258,2.0,0.0,31.0,1214.0,7.705735708785823,0.7658498918050156,0.6183468766677499
ID2886,2886,0,0.45431196689605713,1737.4195256156459,620.4599894557604,0.0,83.0,83,8.0,1,,5.778280542986425,2.0,0.0,33.0,1277.0,8.128551181038109,0.8692068425724927,0.6611214514916529
ID3398,3398,0,0.4103486239910126,1877.4738812036965,728.9515294229279,0.0,128.0,128,8.0,1,,5.420814479638009,2.0,0.0,34.0,1198.0,7.321780786056227,0.8001377400886266,0.6581681108185462
ID3145,3145,0,0.3978080451488495,1949.8096011616428,735.5397117506959,0.0,105.0,105,8.0,1,,5.407239819004525,2.0,0.0,27.0,1195.0,7.104207593292096,0.8432359221059297,0.6963990298462036
ID2122,2122,0,0.3265701234340668,1882.5992333617353,974.0128765683163,0.0,16.0,16,8.0,1,,4.3031674208144794,2.0,0.0,28.0,951.0,5.8351161797288835,0.8288217304790267,0.6684339305165172
ID2634,2634,0,0.42012226581573486,1887.426645603368,872.8396060210065,0.0,54.0,54,8.0,1,,5.773755656108597,3.0,0.0,32.0,1276.0,7.30774426793106,0.8253400237978026,0.7144867593710088
ID2383,2383,0,0.3374612033367157,1844.9754684888408,773.9606809661886,0.0,28.0,28,8.0,1,,4.352941176470588,1.0,0.0,30.0,962.0,6.432329773119566,0.7359761064349715,0.5738051794013551
ID2896,2896,0,0.38926777243614197,1815.322126312488,598.5641892092905,0.0,88.0,88,8.0,1,,5.262443438914027,2.0,0.0,31.0,1163.0,7.491443082411672,0.8269517713183041,0.6359237594657038
ID2132,2132,0,0.32098913192749023,1899.3819735393633,945.2527693667714,0.0,8.0,8,8.0,1,,4.402714932126697,2.0,0.0,26.0,973.0,5.970061051553495,0.8218367638836518,0.6653465253152695
ID2644,2644,0,0.37130191922187805,1923.4357528775765,845.1694679461768,0.0,62.0,62,8.0,1,,5.14027149321267,1.0,0.0,31.0,1136.0,7.8816967438693055,0.8367750242032875,0.5942224779707335
ID3412,3412,0,0.3349513113498688,1881.6102096602083,716.6745656655282,0.0,136.0,136,8.0,1,,4.108597285067873,1.0,0.0,26.0,908.0,6.230932246446817,0.8339860826469464,0.5996989787446011
ID3158,3158,0,0.4287203252315521,1981.6289246370516,819.1513961708441,0.0,113.0,113,8.0,1,,5.968325791855204,2.0,0.0,31.0,1319.0,8.020082259990453,0.8375094325019833,0.6783656124349905
ID2393,2393,0,0.3956957757472992,1818.186982813953,828.4872529930461,0.0,25.0,25,8.0,1,,5.239819004524887,2.0,0.0,38.0,1158.0,7.825450783634878,0.805391749972933,0.5974102091967357
ID2906,2906,0,0.4674385190010071,1940.6630427940793,632.5476492353233,0.0,95.0,95,8.0,1,,6.221719457013575,3.0,0.0,31.0,1375.0,8.147541666775751,0.847411291601743,0.700558622657951
ID2142,2142,0,0.4399387240409851,1881.131753297941,937.2499242470108,0.0,7.0,7,8.0,1,,5.411764705882353,2.0,0.0,33.0,1196.0,7.639469701897064,0.8664120345005714,0.6576921203866184
ID2656,2656,0,0.4113328456878662,1898.8534759048648,902.343820529263,0.0,57.0,57,8.0,1,,5.366515837104072,1.0,0.0,28.0,1186.0,7.940492375732519,0.854419498564898,0.6227849995702028
ID3424,3424,0,0.4705519676208496,1850.7046202454244,696.4727562948326,0.0,130.0,130,8.0,1,,6.248868778280543,2.0,0.0,35.0,1381.0,8.764419862871849,0.841719867132608,0.6517067678877609
ID2657,2657,0,0.43826162815093994,1967.9849566397027,716.8846120463592,0.0,68.0,68,8.0,1,,5.660633484162896,2.0,0.0,36.0,1251.0,7.783300162209829,0.8344623607856538,0.6616513442499637
ID2403,2403,0,0.40825608372688293,1786.7625807846803,779.1905618092194,0.0,40.0,40,8.0,1,,5.46606334841629,2.0,0.0,32.0,1208.0,7.474500735869534,0.8457533600565903,0.6701816485107019
ID3171,3171,0,0.401146799325943,1959.7218857834175,839.3009372513553,0.0,117.0,117,8.0,1,,5.588235294117647,3.0,0.0,31.0,1235.0,6.70804449616778,0.8669820762441999,0.7737109002384419
ID2916,2916,0,0.42786887288093567,1885.7643365622457,590.1868952796266,0.0,91.0,91,8.0,1,,5.855203619909502,2.0,0.0,30.0,1294.0,7.717561589658271,0.7803936556468565,0.6651040407070551
ID2153,2153,0,0.31961876153945923,1786.6705635750607,997.5820365260529,0.0,1.0,1,8.0,1,,4.330316742081448,2.0,0.0,25.0,957.0,5.812559629343426,0.8016080183026473,0.6629549004153399
ID2413,2413,0,0.41315895318984985,1824.1630600825324,725.521362253299,0.0,35.0,35,8.0,1,,5.733031674208145,2.0,0.0,35.0,1267.0,7.8899386069677035,0.797290981430909,0.6446725366715341
ID2669,2669,0,0.41789528727531433,1950.4012121902397,782.5682555742732,0.0,65.0,65,8.0,1,,6.090497737556561,2.0,0.0,34.0,1346.0,7.9149427279984055,0.7549827511446419,0.6620627938398783
ID3181,3181,0,0.3891628384590149,1954.872795782394,799.9443698966672,0.0,119.0,119,8.0,1,,5.1900452488687785,2.0,0.0,26.0,1147.0,6.919674880548126,0.8467937608318892,0.6878198434860875
ID2926,2926,0,0.42421939969062805,1904.769880681616,597.4639225363777,0.0,92.0,92,8.0,1,,5.633484162895928,2.0,0.0,29.0,1245.0,8.095260178084724,0.778779266536875,0.609352481628625
ID3438,3438,0,0.3430739939212799,1923.6176025081045,733.8285895984819,0.0,126.0,126,8.0,1,,4.9366515837104075,2.0,0.0,31.0,1091.0,6.923974529314773,0.7499965963872198,0.6111236620260819
ID2165,2165,0,0.35742253065109253,1912.8986231870597,951.5963371425712,0.0,9.0,9,8.0,1,,4.633484162895928,1.0,0.0,24.0,1024.0,6.8481292127500595,0.8205243577221496,0.6099029252635653
ID2677,2677,0,0.42115259170532227,1979.693701960767,685.0579750979955,0.0,71.0,71,8.0,1,,5.5565610859728505,2.0,0.0,31.0,1228.0,7.316402179171668,0.8691810071455751,0.7063133040711307
ID2423,2423,0,0.37554770708084106,1828.8351758548956,743.3987674421185,0.0,44.0,44,8.0,1,,4.791855203619909,2.0,0.0,34.0,1059.0,6.944725054890918,0.8340284338656723,0.6275573465996234
ID2936,2936,0,0.42744168639183044,1934.2605400065831,617.8153952817822,0.0,94.0,94,8.0,1,,5.352941176470588,2.0,0.0,34.0,1183.0,7.454245461552063,0.7987920200109817,0.6377809489764168
ID3195,3195,0,0.3953425884246826,1968.825967061368,836.729408623982,0.0,114.0,114,8.0,1,,5.212669683257919,2.0,0.0,33.0,1152.0,7.737454515914746,0.787763870212198,0.5937149631465063
ID3452,3452,0,0.3923424184322357,1865.34048914155,750.4281601366044,0.0,138.0,138,8.0,1,,5.149321266968326,2.0,0.0,29.0,1138.0,6.975956238847715,0.8689354713624234,0.6863876423410777
ID2176,2176,0,0.34583377838134766,1819.0976302182062,944.6854424529589,0.0,19.0,19,8.0,1,,4.411764705882353,1.0,0.0,29.0,975.0,6.562818619716235,0.7648020044664743,0.5826462629078
ID2432,2432,0,0.32253170013427734,1836.8618722646,791.5508543681191,0.0,27.0,27,8.0,1,,4.076923076923077,1.0,0.0,23.0,901.0,5.718269091132506,0.8884856483008908,0.6708642554319838
ID2689,2689,0,0.4037436246871948,1949.8344664429626,756.6087944782281,0.0,66.0,66,8.0,1,,5.429864253393665,2.0,0.0,34.0,1200.0,7.697745507002685,0.7921840860690875,0.6235896756260951
ID2946,2946,0,0.4063105285167694,1919.8346461043423,604.3655009957396,0.0,93.0,93,8.0,1,,5.714932126696833,2.0,0.0,33.0,1263.0,7.7603422850887105,0.8232517936248207,0.6650376480086952
ID3205,3205,0,0.39187029004096985,1955.816533084676,829.3363185683173,0.0,118.0,118,8.0,1,,5.126696832579186,1.0,0.0,35.0,1133.0,8.495039324829461,0.7793310034947579,0.5286490375997804
ID3464,3464,0,0.34965530037879944,1866.3313454465679,735.1342826424631,0.0,137.0,137,8.0,1,,4.710407239819005,2.0,0.0,31.0,1041.0,6.367340697706897,0.8828008339869209,0.6937271889450777
ID2697,2697,0,0.4125560224056244,1987.4715648991917,681.0847879136682,0.0,70.0,70,8.0,1,,6.009049773755656,2.0,0.0,32.0,1328.0,7.472976132357448,0.7493185019850346,0.6888739601822549
ID2186,2186,0,0.3887275457382202,1804.3369151479287,989.0924828407359,0.0,2.0,2,8.0,1,,5.067873303167421,2.0,0.0,30.0,1120.0,7.027860757032581,0.815868583717081,0.647990131238939
ID2442,2442,0,0.32891401648521423,1848.5138586903113,769.3272700177561,0.0,29.0,29,8.0,1,,4.83710407239819,2.0,0.0,24.0,1069.0,6.313094525236754,0.7980750262166063,0.6801568040348565
ID2956,2956,0,0.4226847290992737,1929.6617838911616,685.1672890578591,0.0,98.0,98,8.0,1,,5.036199095022624,1.0,0.0,33.0,1113.0,7.316143546742687,0.8910605003854363,0.648712755280145
